City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,rio grande,-32.035,-52.0986,21.78,78,100,1.19,BR,2025-03-20 12:15:52
131,mana,5.6592,-53.7767,26.59,81,100,3.89,GF,2025-03-20 12:15:53
132,daye,30.0833,114.95,17.66,32,25,1.08,CN,2025-03-20 12:15:55
133,avarua,-21.2078,-159.775,27.03,78,75,4.63,CK,2025-03-20 12:15:56
134,kodiak,57.79,-152.4072,-1.27,93,40,2.57,US,2025-03-20 12:11:56
135,talnakh,69.4865,88.3972,-13.45,94,97,3.4,RU,2025-03-20 12:15:58
136,termini imerese,37.9837,13.6956,16.66,57,45,3.15,IT,2025-03-20 12:15:59
137,labuan,5.2767,115.2417,23.94,94,100,1.34,MY,2025-03-20 12:16:01
138,vorgashor,67.5833,63.95,-6.6,95,99,6.66,RU,2025-03-20 12:16:02
139,ponta delgada,37.7333,-25.6667,15.4,67,40,6.69,PT,2025-03-20 12:16:03
140,akureyri,65.6835,-18.0878,4.3,84,86,3.45,IS,2025-03-20 12:16:04
141,midvagur,62.0511,-7.1939,8.46,87,100,5.66,FO,2025-03-20 12:16:07
142,kirensk,57.7853,108.1119,-5.35,98,100,1.44,RU,2025-03-20 12:16:08
143,kavaratti,10.5669,72.642,28.79,72,12,0.46,IN,2025-03-20 12:16:09
144,korla,41.7597,86.1469,12.2,18,0,3.14,CN,2025-03-20 12:16:10
145,san rafael,-34.6177,-68.3301,23.66,42,59,2.62,AR,2025-03-20 12:16:12
146,mashhad,36.297,59.6062,29.08,21,0,3.09,IR,2025-03-20 12:15:47
147,buka,40.8108,69.1986,26.85,11,0,2.63,UZ,2025-03-20 12:16:14
148,mpika,-11.8343,31.4529,22.0,76,100,2.52,ZM,2025-03-20 12:16:15
149,rongelap,11.1635,166.8941,26.83,79,25,11.22,MH,2025-03-20 12:16:16
150,mukher,18.7,77.3667,37.73,17,10,3.67,IN,2025-03-20 12:16:17
151,hamilton,39.1834,-84.5333,8.29,68,100,6.69,US,2025-03-20 12:16:19
152,kenora,49.8167,-94.4337,-9.57,92,69,2.24,CA,2025-03-20 12:16:20
153,aasiaat,68.7098,-52.8699,-13.43,93,100,3.1,GL,2025-03-20 12:16:21
154,cooma,-36.2333,149.1333,17.01,74,77,2.13,AU,2025-03-20 12:16:22
155,vila franca do campo,37.7167,-25.4333,15.23,67,29,8.24,PT,2025-03-20 12:16:23
156,freetown,8.484,-13.2299,27.6,74,89,3.8,SL,2025-03-20 12:16:25
157,ixtapa,20.7,-105.2,16.79,78,2,1.19,MX,2025-03-20 12:16:26
158,polski trambesh,43.3836,25.6497,12.3,35,0,2.72,BG,2025-03-20 12:16:27
159,koidu,8.4167,-10.8333,32.75,48,75,1.25,SL,2025-03-20 12:16:28
160,las khorey,11.1595,48.1967,29.13,62,20,3.76,SO,2025-03-20 12:16:29
161,aljezur,37.3191,-8.8033,14.54,80,100,7.91,PT,2025-03-20 12:16:31
162,caleta de carquin,-11.0925,-77.6267,21.22,85,89,3.56,PE,2025-03-20 12:16:32
163,simanggang,1.2472,111.4528,25.01,94,100,1.34,MY,2025-03-20 12:16:33
164,mount isa,-20.7333,139.5,25.87,83,84,4.12,AU,2025-03-20 12:16:34
165,ghat,24.9647,10.1728,35.61,9,17,5.24,LY,2025-03-20 12:16:35
166,port alfred,-33.5906,26.891,29.6,48,14,4.88,ZA,2025-03-20 12:16:36
167,kerman,30.2832,57.0788,22.4,9,0,1.45,IR,2025-03-20 12:16:38
168,roccella ionica,38.322,16.4009,12.57,58,2,3.56,IT,2025-03-20 12:16:39
169,east london,-33.0153,27.9116,29.64,55,20,4.8,ZA,2025-03-20 12:16:13
170,ninghai,29.2892,121.4247,9.81,79,2,0.06,CN,2025-03-20 12:16:41
171,luanda,-8.8368,13.2343,32.0,66,40,5.14,AO,2025-03-20 12:16:44
172,miguel ahumada,30.6167,-106.5167,4.36,15,0,2.65,MX,2025-03-20 12:16:45
173,remire-montjoly,4.9167,-52.2667,29.02,74,40,3.6,GF,2025-03-20 12:16:46
174,solnechnyy,50.7214,136.6319,-5.67,95,96,2.14,RU,2025-03-20 12:16:47
175,caconda,-13.7333,15.0667,23.36,69,99,1.84,AO,2025-03-20 12:16:48
176,okhotsk,59.3833,143.3,-13.56,88,100,4.54,RU,2025-03-20 12:16:50
177,samara,53.0,50.0,3.43,80,39,3.84,RU,2025-03-20 12:16:51
178,betong,5.7743,101.0723,22.34,88,100,1.47,TH,2025-03-20 12:16:52
179,tidjikja,18.5564,-11.4271,38.1,8,0,5.92,MR,2025-03-20 12:16:54
180,sao joao da barra,-21.6403,-41.0511,27.05,88,100,3.45,BR,2025-03-20 12:16:56
181,san andres,12.5847,-81.7006,27.01,69,20,3.6,CO,2025-03-20 12:16:57
182,padangsidempuan,1.3667,99.2667,21.77,95,100,2.22,ID,2025-03-20 12:16:58
183,matehuala,23.65,-100.65,9.2,56,4,2.84,MX,2025-03-20 12:16:59
184,alzamay,55.5562,98.6644,8.94,67,94,4.71,RU,2025-03-20 12:17:00
185,sitka,57.0531,-135.33,2.94,87,75,0.0,US,2025-03-20 12:17:02
186,busselton,-33.65,115.3333,16.35,69,1,6.71,AU,2025-03-20 12:17:03
187,afaahiti,-17.75,-149.2833,26.25,75,13,2.34,PF,2025-03-20 12:17:04
188,koysinceq,36.0821,44.6278,19.37,42,90,6.01,IQ,2025-03-20 12:17:05
189,yamada,39.4667,141.95,1.19,91,65,2.49,JP,2025-03-20 12:17:06
190,hami,42.8,93.45,14.14,11,0,2.09,CN,2025-03-20 12:17:08
191,new norfolk,-42.7826,147.0587,13.73,89,100,1.2,AU,2025-03-20 12:17:10
192,coronel suarez,-37.4547,-61.9334,19.76,69,23,3.73,AR,2025-03-20 12:17:11
193,changli,39.7042,119.1506,16.12,26,0,5.44,CN,2025-03-20 12:17:12
